,,,,,,,,,,,,,,,
BTC,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,Normalized for XMR,XMR,Avail. Supply,Daily emission,Block Reward,Inflation,% Mined,,,
day 1,0.00,"7,200.00",50.0000,#DIV/0!,0.00%,"6,308.57",,,,,,,,11/30/2008,
day 2,"7,200.00","7,200.00",50.0000,100.00000%,0.03%,"6,308.57",,,,,,,,12/1/2008,
day 3,"14,400.00","7,200.00",50.0000,50.00000%,0.07%,"6,308.57",,,,,,,,12/2/2008,
day 4,"21,600.00","7,200.00",50.0000,33.33333%,0.10%,"6,308.57",,,,,,,,12/3/2008,
day 5,"28,800.00","7,200.00",50.0000,25.00000%,0.14%,"6,308.57",,,,,,,,12/4/2008,
day 6,"36,000.00","7,200.00",50.0000,20.00000%,0.17%,"6,308.57",,,,,,,,12/5/2008,
day 7,"43,200.00","7,200.00",50.0000,16.66667%,0.21%,"6,308.57",,,,,,,,12/6/2008,
day 8,"50,400.00","7,200.00",50.0000,14.28571%,0.24%,"6,308.57",,,,,,,,12/7/2008,
day 9,"57,600.00","7,200.00",50.0000,12.50000%,0.27%,"6,308.57",,,,,,,,12/8/2008,
day 10,"64,800.00","7,200.00",50.0000,11.11111%,0.31%,"6,308.57",,,,,,,,12/9/2008,
day 11,"72,000.00","7,200.00",50.0000,10.00000%,0.34%,"6,308.57",,,,,,,,12/10/2008,
day 12,"79,200.00","7,200.00",50.0000,9.09091%,0.38%,"6,308.57",,,,,,,,12/11/2008,
day 13,"86,400.00","7,200.00",50.0000,8.33333%,0.41%,"6,308.57",,,,,,,,12/12/2008,
day 14,"93,600.00","7,200.00",50.0000,7.69231%,0.45%,"6,308.57",,,,,,,,12/13/2008,
day 15,"100,800.00","7,200.00",50.0000,7.14286%,0.48%,"6,308.57",,,,,,,,12/14/2008,
day 16,"108,000.00","7,200.00",50.0000,6.66667%,0.51%,"6,308.57",,,,,,,,12/15/2008,
day 17,"115,200.00","7,200.00",50.0000,6.25000%,0.55%,"6,308.57",,,,,,,,12/16/2008,
day 18,"122,400.00","7,200.00",50.0000,5.88235%,0.58%,"6,308.57",,,,,,,,12/17/2008,
